target,cmpd_YM,cmpd_QJ,cmpd_FA,cmpd_HV,cmpd_TN,cmpd_VQ,cmpd_FI,cmpd_AN,cmpd_WB,cmpd_ZZ,cmpd_QO,cmpd_CL,cmpd_OY,cmpd_QZ,cmpd_LA,cmpd_IV,cmpd_RH,cmpd_TV,cmpd_GZ,cmpd_OZ,cmpd_XY,cmpd_EY,cmpd_FC,cmpd_PQ,cmpd_CB,cmpd_SH,cmpd_OG,cmpd_DF,cmpd_KV,cmpd_DC,cmpd_OC,cmpd_WX
A2M,0.43856074005956286,0.4442743494350587,0.529646484544625,0.6224417010442578,0.6377787133706868,0.3977637476394412,0.696694269291122,0.7486690299706947,0.5026941398167758,0.4704294125173046,0.3489195335028278,0.5711599984734422,0.24021448228673753,0.46905093277965076,0.27975547645979487,0.5580425037402709,0.5332187216262423,0.7901703443876746,0.6788261796604744,0.5472093723602923,0.547988827650514,0.5454697558625998,0.5526672041222249,0.5304429034269005,0.3817324427583662,0.22495996334464718,0.7733956893435661,0.6505818899932503,0.6770676693252743,0.3573796976381184,0.6617812492372727,0.6815972629396734
AAK1,0.5200328083071792,0.7623635003856755,0.8837471513337386,0.6131404603922166,0.7232107567611072,0.7633792549707369,0.5289070317832258,0.37156950603065503,0.26428204347605766,0.43055491686325026,0.5311610885935707,0.41696462459209493,0.3491835005244127,-0.018951917141674435,0.8778383672392296,0.3547114077078862,0.3067717552932724,0.3694643125124215,0.4998310507899527,0.5227459274330621,0.4880313704646985,0.266190154692862,0.6766159150636322,0.17048239450291547,0.5053551878354552,0.9676876856365466,0.5359543374131199,0.7398827469786177,0.5441092620347534,0.09365954246335084,0.5889466700185289,0.47106782819564663
AASS,0.4107050264018954,0.43733230882639107,0.47653919577779785,0.8287988498690961,0.5472348391760293,0.1429018541372331,0.5840753952567364,0.6146763281065252,0.6320013418240806,0.48595815303383755,0.3875366801431872,0.1208980685873895,0.7262176059675046,0.8005931757448979,0.629191576349286,0.601986841973392,0.521760026313819,0.4852808582726346,0.7722668693300339,0.5696275258988321,0.7032421640328274,0.45250139515938725,0.708083862628919,0.6896724354126743,0.4844140632277179,0.23809722884319,0.6840948526461017,0.4648603355726706,0.5302361453046726,0.526929866607342,0.698500859163312,0.4017662357552013
ABAT,0.6129158056275461,0.3113235696895478,0.4371855974742801,0.41776427729512056,0.7846799868775027,0.26495303127052394,0.40829295098903917,0.802803221923307,0.15406515626921186,0.2779586921471813,0.6931887897749245,0.5750330326118545,0.5062616159462784,0.396760934745786,0.8908823988988037,0.4941976060201875,0.5359875582914131,0.3060384011289453,0.9425407364961149,0.5700826918965748,0.3260812444114318,0.5534822902253489,0.47679594135192727,0.3813203411177688,0.4851012022570994,0.8890941827066566,0.17900035119264313,0.6882066392407309,0.7708475141310358,0.7265828414479282,0.24620141386106736,0.2707390455899108
ABCB1,0.7729004305456039,0.8793529641854065,0.5054367134137769,0.5248048837943661,0.3969402534270647,0.5250174861052137,0.5567282490020656,0.648293446986762,0.2884499376145667,0.8495892683601398,0.5869557708327283,0.7846546713427023,1.0645284823736976,0.4754852157367931,0.4940469003903697,0.37656943440177004,0.1426105470026635,0.7201176949026226,1.043799715276061,0.6680590121832733,0.8317901446393947,0.5746216428090706,0.7678609680333927,0.8246920227083594,0.17845657424239209,0.7477948267639429,0.5414746772588901,0.474061337337605,0.42288660324748306,0.5515630299335728,0.9678735401884124,0.9715307566483837
ABCB11,0.5178338520377312,0.7452074162929102,0.7968575577727375,0.128401273200345,0.36431456447234245,0.48486770362754866,0.6604043054150056,0.5894355024236017,0.5245616502720852,0.1949357161359186,0.5396401650297451,0.35839371916512797,0.3980896022467267,0.16623146350325918,0.43497448317901133,0.27367018251683123,0.5259201586303665,0.4149921481907718,0.7391337734155141,0.3559265766690178,0.7459792072865146,0.7049477732353455,0.6884236270793997,0.35946879157418643,0.23254077283342323,0.5622731693947712,0.5039302329414861,0.4994064980810431,0.2866762448167518,0.27129563132112544,0.4792582457004344,0.6711798297219975
ABCC1,0.4347528725619128,0.6832653011592117,0.6133478662561419,0.6425177076856826,0.5204166224339586,0.3918431387954574,0.524917032737113,0.5657832411491475,0.3948029316012035,0.19856302292359485,0.6880611741879976,0.35614942708256137,0.26449295782981075,0.39451212882588,0.5952595998838739,0.8542046759044649,0.26740835195545926,0.47733513962516533,0.6059526007674281,0.39983762243516985,0.6089959291318038,0.27176434412550243,0.3522793784138838,0.45305990653457756,0.3166624908628106,0.5026421328686508,0.6811706124508139,0.5561989478609173,0.5795586373753074,0.778895573216634,0.6961137259026728,0.7103746201777851
ABCC2,0.4557012480556195,0.3677871557515534,0.31401490254837394,0.43279447523089154,0.41312909476482407,0.14980571592611597,0.3655430227591352,0.6843373006053411,0.6612358358964732,0.4132263833425961,0.7054114112129188,0.7730868570785631,0.4790267160869045,0.5790001125427966,0.41217481480815554,0.5156994060632811,0.6503325145569968,0.3579126652152548,0.1798009233477938,0.2967566620610954,0.4480783887331628,0.24613257799176214,0.4708317269223664,0.5334674630724685,0.24804278766899862,0.4521904768320424,0.266294538675494,0.5702931437685276,0.5913052709483941,0.3617633914692026,0.41823806658091206,0.648218409677675
ABCC8,0.5352916785205025,0.16902877679598666,0.49407378201461105,0.3402688813945567,0.6421820510321427,0.6726257510690586,0.3361241547697751,0.5541230188563864,0.6192100919547863,0.6106939468192848,0.6188530517804153,0.4436157924389831,0.3166126218404023,0.4927699883044302,0.6839852245300884,0.5198005867923058,0.4931127593339717,0.6143773494743165,0.9783927433283195,0.3911821600011884,0.5264903243331588,0.4554493371505759,0.6732527639981853,0.6138890224953699,0.5759245945097852,0.46317066355406156,0.9907190351408552,0.6257787567475246,0.4084289628234568,0.5853367261022714,0.6682715365085861,0.3990863368161095
ABCG2,0.3880061101266801,0.595010221766263,0.48607537454319133,0.7384070020717198,0.6963982249032675,0.7884704848498952,0.48839636124971153,0.35018880900110216,0.36645454743552563,0.690604662433931,0.5705120172255975,0.4123256182840037,0.35015740436452797,0.5519418015030662,0.6022715254011284,0.44693663457305055,0.7206717156696101,0.6597084571322932,0.5810795502739969,0.3835751467403691,0.547801793495262,0.7906956896939761,0.1356848846040956,0.47533229407990946,0.36552420718996215,0.7783159722137811,0.4736889643862455,0.36486342112134773,0.5019626238420807,0.3858922388845332,0.3219482375016516,0.2512073385354427
